timestamp,year,Game of the Year,Best Independent Game,Best Narrative,Best Art Direction,Best Soundtrack,Best Multiplayer,Best Game Direction
2026-09-10T19:36:21.590073,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:36:23.362644,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:36:50.314383,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:36:50.724832,2025,TestGame_1789079810339,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:36:51.075662,2025,CsvTestGame_1789079810740,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:36:52.493540,2025,PartialNull_1789079812143,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:36:52.870263,2025,PartialNan_1789079812510,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:36:53.222768,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:36:53.603047,2025,FlatSchema_1789079813238,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:20.411866,2025,"TestGame, With Comma 1789079839",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:21.104204,2025,"Game ""Quoted"" 1789079840",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:21.490451,2025,Ghost of Yōtei 1789079841,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:21.864956,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:21.878115,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:21.908764,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:21.939555,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:21.951788,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:22.344007,2025,OneOfSeven_1789079841,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:22.717482,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:37:23.069749,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:23.447312,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:24.147286,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:24.160548,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:44.235141,2025,E2E_GOTY_Pick_1789079863827,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
